stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,29.23,0.37,0,0,0,0,0,0,0.37,1.11,6.66,5.92,0.74,0,7.4,0,1.11,0,0,0.74,0,0,0.37,0,0
3Month,0.21,18.93,0,0.1,0.31,2.7,0,1.04,4.06,0.62,2.5,0.62,1.14,0.1,0.21,0.31,0.52,0.1,0.21,0.31,0,0.1,0.42,0,0.21,0.21
22Month,0.27,16.26,0,0.41,0.14,0.68,0.14,0.96,0.68,0.14,0.27,0.27,5.06,0,0,2.46,0.14,0.14,0.14,0.14,0,0,0,0,0,0.14
