stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,2,0,5,1,0,0,0,0,0,0,0,1,0,1,1,2,12,0,0,1,15,422,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,3.1,0.56,0,2.82,0.28,2.54,0,0,0,0,0,0,0.56,0,1.13,3.95,0.56,5.07,0.56,0.28,0.28,195.04,109.08,0,0.56,0,9.3,0.28,0,14.09,0.28,0.85,0.56,0,0,0
21Day,1.48,0.37,0.37,5.92,0.37,5.18,0,1.48,0.37,0,0,0,1.11,1.85,0.74,5.18,0.37,7.77,0,0,0,101.01,41.07,0,0.37,0,3.33,5.55,1.11,5.92,1.11,2.22,0.37,0,0,1.48
3Month,0,0,0,1.25,0,0,0.1,0,0.31,0,0.73,0.31,0,0.52,0,0.42,0.21,0.62,0,0.21,0,1.46,1.66,0.21,0.1,0,0,0.21,4.58,2.08,0,0,0.21,0.21,1.46,0.42
22Month,0,0.14,0.14,0.82,0,0,0.14,0,0.82,0.27,15.58,0.27,0,1.37,0,0,0.41,0.96,0.96,0.14,0.14,0.68,1.5,0.14,0.14,0.14,0,0.14,3.55,10.66,0,0,0,0,0,0
