stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,0.28,0,3.38,0,0,0.56,5.64,0,0,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0,0,0,0,1.48,0,0,0,0.74,0,0,0,0,0,0,0.37
3Month,0,0.21,0.73,0.1,1.35,6.97,0.1,0.52,0.31,0.1,0.1,0.73,0.73,0,0.73,0.21,0,0,0,0,0.21,0.83,0.1,0.52
22Month,0,0.14,0.68,0,0.55,2.46,0,0,0.41,0,0,1.09,0.27,0.27,0,0,0,0.14,0.41,0,0,1.23,0,0
