stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,0,0,4,0,0,0,0,0
72hpf,0,0.28,0.56,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0.28,0,7.61,7.05,0,0,0.56,0,0,0.28,0.28,0
21Day,0.37,0,2.96,0,2.59,0,1.85,0,0,0,0,0,0.37,0,0,0.74,0,2.22,0,0,4.44,5.18,0,0.37,1.11,0.37,0.37,0,0,0
3Month,0,0,1.04,0,0,0,0,0,0.21,0,0.52,0,0,0.42,0,0.31,0.21,0.21,0,0,0,0,0,0,0,0.1,0.42,0,0,0.1
22Month,0,0.14,1.5,0.14,0,0.27,0,0.27,0.96,0.27,14.62,0.14,0.27,1.37,0.14,0.14,0.55,1.78,0.27,0.41,0,0,0.27,0,0.14,0,0,0,0,0
