stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,12.12,0.28,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0.74,0,0.37,0,0,0,0,0,0.37,0.74,0,0,0.37,0.37,0,0,0,4.07,0.37,0,0.74,0,0,0,0,0.37,0,0.37,0.37,0,0,0.37
3Month,0.1,0.42,0.62,2.39,0,0,0,0.62,0.52,0.1,31.93,0.31,0.21,11.55,0.83,0.73,0.42,0.73,0.1,0.52,3.74,0.31,0.1,0.42,0.42,0,0,0.52,1.25,0.1,0,0,0.1,0.1,5.41,0.31
22Month,0,0.68,0.82,0.82,0,0.27,0,1.23,0.96,2.46,40.99,0.41,0.14,10.39,0.55,0.14,0.27,0.96,1.64,0.41,0.14,0,0,0.55,0.68,0.14,0,0,0.68,0.27,0.14,0,0,0.14,0,0.14
