stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.69,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,2.54,0,0.85,0,0.28,49.32,61.72,0,0,0,1.97,0,0,1.41,0.28,0,0.28,0,0,0
21Day,0,0,8.14,0,0.74,0,0,0,0,0.37,0,0,0.37,0.74,1.85,0.37,1.85,0,0,0.37,0,19.98,11.1,0,0.37,0,0.37,0.37,0,1.85,0.37,1.48,0,0,0,0
3Month,0,0.21,10.61,0,0,0.1,0.21,0.62,0,2.81,1.77,0.21,0.94,0.73,5.93,0.73,1.25,0.62,0,0.21,0.73,0.31,0.21,0.21,0.1,0,0,0.21,1.87,0.73,0,0,0,0.42,5.72,0.83
22Month,0,0.14,3.14,0,0,0,0,1.23,0.14,10.52,0.55,0,0.41,0,0.41,0.68,1.91,0,0.14,0,0.41,0.14,0.14,0.96,0.41,0.14,0,0,1.09,0.55,0,0,0,0,0,0.41
