stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0.28,0,0,0,0,0,0
21Day,0,2.22,0,0,0,0,0,0,0.37,0,0,23.68,0,0,0,0,0,0.37,0,0,0,0
3Month,0,6.45,0,0.1,0.1,0.31,0.52,0,0,0.21,0.52,0.1,0,0.52,0.1,0,0,0.83,0.1,1.56,0.1,0.1
22Month,0.14,3.28,0,0,0,0,0.14,0.41,0,0.27,0,0,0.14,0,0.14,0.14,0,0,0,0.14,0,0
