stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0.28,0.56,0,0,0.28,0,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,1.48,0.37,0,0,0,0,0,0,9.99,0,0.37,0,0.37,0.74,0,0.37,0,0.74,0.74,0,0,0,1.11
3Month,0,0.1,0.1,0.94,0,0.21,0.52,1.25,0.42,0.52,0.42,0.1,0.52,0.42,0.1,0.42,0.31,0,0,0.21,0.1,14.87,0,0.31,20.91,0.52
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,3.01,0.27,0,0,0
