stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.31,0.1,2.39,0.1,0.94,3.33,8.63,216.56,1.98,0.21,0.42,1.25,1.35,0.1,0.1,0.21,0.31,0.1,0,0.1,0.42,1.25,1.66,1.35,0.73,0.83
22Month,0.14,0.14,0.68,0.14,0,0.55,12.71,42.09,0.27,0,0,0.41,0.27,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.14
