stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,8.46,0,0,0,0,0,0,0.28,0,0,0,2.25,4.23,0,0.28,0,0,0.56,2.82,0.56,0.56,0,1.13,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,1.85,31.82,1.85,0,2.22,0,0,0,0,0,5.55,0,0.74,5.18,8.51,2.22,0,0,0.37,3.33,0.74,0,1.11,0.37,0.37,0,0,0,1.11,0,0,0,0.37
3Month,0,0.1,0.21,38.59,4.16,0,0.21,0,0.21,0.94,0.1,2.91,1.77,0.31,1.14,2.81,0.83,14.35,1.35,0.31,0,2.08,1.04,0.1,0.21,0.21,0,0.31,1.77,0,0,0,0.21,0.1,15.6,0.21
22Month,0,0,0.82,15.44,2.32,0,0.14,0.27,0.14,1.78,1.09,4.37,0.41,1.37,0.27,0,0.27,13.8,0.96,0,0.14,0.55,0.41,0.14,0.27,0,0,0,2.32,0.41,0.14,0,0,0,0,0
