stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,4.79,3.66,1.69,0,0,0,0,0,0,0,0,0.28,4.51,0.28,1.41,0.56,0,0,106.82,5.36,2.25,0,1.41,0,0,1.41,0,0.28,0.56,0,0,0
21Day,0.37,0,0,7.4,2.96,4.07,0.74,0,0,0,0,0,0.37,1.11,0.74,2.22,0.74,2.59,0,1.85,0,94.72,2.96,1.11,1.11,2.22,3.33,0,0.37,0.74,1.48,0,0,0,0
3Month,0,0.1,0.1,5.2,1.25,0,0,3.74,0.1,0,3.22,0.62,0,0.73,0.1,0.62,0.31,0.52,0,0.21,0.1,4.16,0.31,9.78,0.31,0,0.21,3.02,0.1,0,0,0,0.1,1.56,0.52
22Month,0,0.55,0,2.46,0.14,0,0,1.37,0.55,0,3.83,0.27,0.14,0.55,0,0.82,0.41,0.82,0,0.68,0,4.51,0,9.7,0.55,0.14,0,0.82,1.37,0.14,0,0,0.27,0,0.14
