stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0.28,0
3Month,0,0,0,0,1.04,0,0.1,0.52,0.1,0,0.62,0,0,0,0,0,0,0,0,0.1,0,0,0
22Month,0.68,0.14,1.09,0.14,2.73,1.09,6.56,0.41,0.27,0.14,0.55,0.68,0.41,0.27,0.14,0.14,0,0.27,34.16,0.14,0.14,0,0.14
