stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,1,0,0,0,7,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,3.95,0.28,0.56,0,0,0,0,0,0,0,1.97,0,0.28,0,0,0.28,0,0.56,0.28,0.28,0,0,0,0,0,0
21Day,4.07,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0.37,1.48,0.74,0.37,0,0,0
3Month,21.12,0.21,0.62,0.21,0.21,0,0,1.77,0.52,0.1,0.31,0.21,0.1,0.42,0,0,0.1,0,0,0,0.1,0.31,0,0.1,0.21,0.1
22Month,17.9,0,0.27,0.27,0.41,0.14,0,3.01,0,1.64,0,0,0.27,0,0.14,0,0,0.14,0,0,0,6.01,0,0,0,0.27
