stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Primordial_germ_cell,T_cell
72hpf,0.56,0,0,0,0,0,0,0,1.69,0,0,0
21Day,4.81,0,0,0,0,0,0.37,0.74,0.74,0.37,0,0
3Month,0.62,0.1,0.1,0.1,0.1,0.1,0,0,0.21,0,0.83,0.21
