stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
72hpf,1.13,2.54,0.28,0.28,0,0,0,0.28,0.28,209.98,2.25,0.28,7.89,4.51,1.41,0,0.56,0.28
21Day,0,12.95,0,0.74,0,0.37,0.37,0,0,45.14,1.11,0,1.48,0,0.37,0,0,0
3Month,0,0.1,0,0,0.1,0.31,0,0.42,0,0.31,0.1,0,0,0,0,0.21,0,0
22Month,0,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0,0
