stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,35,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0.28,0.56,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.37,18.87,0,0.37,0.37,0,0,0,0,0,0.74,0,0
3Month,0,2.5,0.1,0,0.21,0.1,0,0.83,0.1,0,0.21,0.1,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0.1
22Month,0,0.55,0,0,0,0,0.14,1.64,0,0,0.14,0,0,0.14,1.09,0,0,0.14,0,0,0,0,0.14,0
