stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,11,5,4,0,0,0,0,0,0,0,0,0,0,2,1,1,21,0,0,0,2,311,0,0,5,0,0,0,0,0,0
72hpf,1.41,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,1.13,0,0,0.28,3.95,2.82,0,0,71.31,0,0,0,0,0.28,0
21Day,0.37,0,0.74,0.37,0.37,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0.74,3.7,0,0,0,0.37,1.11,0,0.37,46.62,0.37,0,0,0.37,0,0
3Month,0,0,1.04,0,0,0,0.21,0.1,1.77,0.73,0.21,0,0.94,0.1,0,0.31,0.52,0.1,0,0.1,0,0.1,0.1,0,3.64,0,0.94,0,0,0.1,0
22Month,0,0,0,0,0,0,0.14,0.41,1.09,1.23,0,0,0.27,0,0,0,0.14,0,0.14,0,0,0,0,0,0.68,0,1.91,0.14,0,0,0.14
