stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,6,10,0,0,4,0,0,0,0,0,0,0,0
72hpf,2.54,1.97,0,4.51,0.56,2.82,0,0,0,0,0,0,0,0,0,0,0.56,3.1,1.41,12.97,0,0.28,0.28,0,317.92,9.02,0.85,1.13,9.86,0,0,2.82,0.28,0.56,0,0,0
21Day,4.07,0.37,0.37,3.7,0,5.55,0,0,0,0,0.37,0,0.37,0,2.59,2.22,0.74,5.18,0.37,11.47,0,0,2.22,0,148.73,5.92,0.74,1.48,9.99,4.07,0,4.07,1.11,0.74,0,0,1.11
3Month,0.1,0.73,0.21,11.13,0,0,0.1,0.1,0.1,3.43,0.52,0.1,3.33,0.21,0.21,0.94,3.74,1.35,0.73,12.69,1.04,0,1.14,1.25,6.45,0.42,3.74,0.42,0,0.21,0.62,0.42,0,0.42,0.31,0.42,0.94
22Month,0.14,2.87,0.14,7.52,0,0,0.41,0.14,0.14,0.96,1.09,1.23,13.66,0.55,0.27,0.82,0,0.14,1.09,7.65,0.14,0,0.82,0.14,6.15,0.14,2.32,0.41,0,0,0.55,1.37,0,0.27,0.41,0,0.14
