stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0.28,0,0.28,0,0.28,0,17.47,1.13,0.56,0,0,0,0,0,0
21Day,0,0.37,0,1.11,0.74,0,7.77,0.74,0,0.74,0,0.37,0.37,0.37,0.37
3Month,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0
