stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,1.41,0.56,0,0,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0.37,0,0,9.99,0,0.37,0,0,0,0,0,0,0.37,2.22,1.11,1.85,1.11,1.85,0,0,0,0,1.11,1.48,0,0,0,0.37,0.74,0.74,0,0,0.37,0,0,1.11
3Month,0,0.31,3.22,24.96,0.1,0,0.42,15.08,3.74,0,5.41,4.37,0.83,50.14,1.66,3.22,6.55,1.14,0.31,0,2.39,1.04,0.42,0,1.04,0,0,0,0.73,3.33,0.1,0,0,0.52,1.14,13.21
22Month,0,0.82,4.65,7.79,0,0,0.27,10.25,3.83,0.27,14.21,3.42,2.32,91.83,0.55,0.82,5.06,1.23,0.14,0.55,2.05,0,0.14,0.14,1.23,0.14,0.27,0,0,7.11,0.27,0.27,0,0,0,2.6
