stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,10.43,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.96,0,0.37,0,0,0
3Month,0,0,0.1,0.1,0.1,0.31,0.1,0,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0.96,0,0,0.14,0,0,0,0,0,0
