stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,4.07,0,0.37,0,0,0,0,0,0,0,0.37,0,0,3.7,1.48,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0.21,0.1,13.31,0,0,0.21,1.25,0.42,0.1,0,0.73,1.04,0.42,0.83,1.04,0.94,3.33,0.21,0.21,0.1,0.1,0.21,0.1,0,0.21,0,0,0,0,2.08,0,0.1,0.31,1.66
22Month,1.09,0.14,4.24,0.14,0,0,1.37,0.27,0.14,0,3.69,0.82,1.09,5.47,0.14,0.68,1.5,0.96,0,0,0.27,0,0.14,0,0,0,0.14,0,0,3.55,0,0.27,0,1.5
