stage,Cardiomyocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,2,0
72hpf,0,0,1.69,0,0
21Day,0.37,0,0.74,0,0.37
22Month,0,0.55,0.14,0,0
