stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.85,2.25,0,0,0.28,0,0,0,0.85,0,0,0,0,0.28,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0,0.21,1.04,0,0.1,0.1,0,0,0.52,0.31,0,0.21,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.31
22Month,0.55,0,0.96,0.14,0,0,0.41,0.14,1.78,0.14,0.14,0.27,0.55,0.14,0,0.14,0,0.14,0,0.14,0,0,0,0,0
