stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,1.69,0,0,0,0,0,0,0,0,0,0,1.41,3.1,1.41,1.97,0,0,0,0,8.17,4.79,0.28,0,1.69,0.28,0,0.85,0.28,0,0,0,0
21Day,2.59,0.37,6.29,0.37,3.7,1.48,0,0.74,0,0.37,0,0.74,0.74,1.11,11.47,1.11,2.59,0,0,0,0,2.22,4.44,0,0,2.22,1.85,0,0.37,0.37,0.37,0,0,0.74
3Month,0,0.21,2.08,0.1,0,0.1,0.42,1.25,0,3.54,0.42,0,0.73,0.21,0.62,1.25,0.62,0.31,0,0.21,0.31,0,0,0.31,0,0.1,0.1,0.94,0,0,0,0.52,1.04,0.62
22Month,0,0.14,1.64,0,0,0.14,0.55,2.05,0.41,11.89,0.41,0.41,1.5,0,0,1.78,1.09,0,0.55,0.68,0,0,0,0.14,0.14,0,0.27,0.27,0,0,0,0.14,0,0.55
