stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,1.48,0,0,29.97,0.74,0,0.37,0,0,0,0,0,0,0.74,0,1.48,5.18,25.16,1.85,0,0,6.29,0,0,0.74,0,0,0.37,0.37,0,0.37,0.37,0,0,0.37
3Month,0,0.31,0.1,68.34,0,0.31,0,0.1,0.73,1.35,0,4.37,1.46,0.1,1.87,6.55,3.43,2.6,2.18,0.42,0,29.02,4.37,0.42,0,0.42,0.21,0,0.1,1.77,0,0.1,0.21,0.52,1.35
22Month,0,0.14,0.14,31.29,0,0.27,0,0,0.68,1.37,0.41,5.33,0.55,0.27,1.23,1.09,0.27,1.78,1.5,0,0.14,19.13,0.55,0,0,0.14,0.27,0.14,0,0,0,0,0,0,0.55
