stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.74,0,0
3Month,0,0.31,0,0.1,0,0.21,0.21,0.83,0.1,0,0.21,0,0,0,0.1
22Month,0.14,0,0,0.14,0.41,1.64,0.14,0.68,0,0.14,0.27,0,0,0,0
