stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,1.97,0,0.28
21Day,0,0,0,0,0,1.48,0,0
3Month,0.1,0.1,0,0,0.1,0,0,0
22Month,0.27,0.68,0.14,0.14,0,0,0,0.14
