stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.31,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0
22Month,0.14,0.14,0.14,0.14,1.5,0.14,6.56,0.55,0,0.14,0.14,0,0.41,0.82,0.14,0.14,0.14,0,0.14,0.27,0.68,0.14
