stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,1.13,0,0,0.28,0.28,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0.37,1.48,0,0,0,0.74,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0.31,1.66,0.1,2.81,0.31,0,0.83,0.31,0,16.85,0,0.1,0.1,0.42,0.21,0,3.74,0,0,0.1,0,0,0.21,0.62,0,0.1,0.1,0.21
22Month,0,0.14,1.64,0.41,0,2.87,0.41,0.14,5.19,0,0,22.68,0,0.14,0,0,0,0.14,2.05,0,0,0,0.14,0,0.27,0,0,0,0,0
