stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell
72hpf,0,0,11.84,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0.28
21Day,0,0,12.95,0,1.85,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0,0.21,0,0,0.1,0.1,0,0.21,0,0,0,0.1,0,0.21,0.1,0,0,0
22Month,0.14,0.55,0,0.14,0.41,0.27,0.14,3.28,0.14,0.41,0.14,0,0.27,0.55,0,0,1.09,0
