stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,2.54,3.38,0.85,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0.74,31.08,0,0,0,0.74,0,0.74,2.59,0.37,5.18,3.33,0,0,0.74,0,0.37,1.48,0,0,0.37,1.11,0,0,0
3Month,0,0.21,0,4.06,0.62,0,0,8.84,0.21,0.1,3.33,0.1,1.14,0.52,0.31,0,0.1,0.42,0,0,0.1,0,0,0.1,0.31,0.31,0.42
22Month,0,0.27,0.14,0.55,0,0.14,0.14,15.44,0.14,0,4.24,0.14,0.14,1.09,0,0.41,0.27,0,0,0,0,0.27,0,0,0,0,0.14
