stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,2.81,0.42,0.83,1.98,0.73,0.1,1.04,0.21,1.14,1.35,1.04,0.1,0,0.21,0,0.1,0.1,0.42,0.1,0.1,0.73
22Month,0.14,0,0,0,0.41,0.55,0,0,0.27,0,0.14,0.41,0.14,0,0.27,0,0,0,0,0,0,0,0.14
