stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0
3Month,0.21,0.31,0.21,0,0.21,0.21,0,21.43,0,0.21,0.21,0.1,0.21,0.1,0.21,0.21,0.1,0,0,1.56,0.52,7.18,0,0,0.21,2.08
22Month,0.27,0.55,0,0.14,0,0.55,0.27,13.8,0.14,0.96,0.14,0,0.27,0.27,0,0.14,0,0.14,0,0.27,0,0,0,0,0,0
