stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
72hpf,1.69,0,0,2.82,0.28,1.69,0.28,0,0,0,0,0,0,0,0.28,3.95,0.28,2.82,0,0.28,0.56,388.67,17.47,0,3.66,0,0,1.69,7.05,4.23,8.17,0,0
21Day,0.74,0,0.37,3.33,0,3.7,0.37,0.37,0,0,0.37,0,0.37,0,0,0,0.37,4.07,0,0,0,108.78,2.96,0.37,0.74,2.22,0,0,0.37,1.11,0,0,0.74
3Month,0,0,0.1,0.73,0,0,0,0,0.1,0,2.5,0.52,0,0.21,0.1,0.73,0.21,0.62,0.1,0,0.21,0.52,0.1,0,0.1,0.1,0.94,0.1,0,0,0.21,0.83,0.62
22Month,0,0.82,0.41,1.23,0,0,0.14,0.14,0.96,0.41,8.61,0.27,0,0.96,0.41,0,1.09,1.37,0.14,0.41,0.14,0.82,0,0.27,0,0,2.87,0,0,0,0,0,0.27
