stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0.28,0,0.56,0,0.85,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,2.22,0,0.37,0,0,0,0,0.74,0,1.48,0,0,0,0
3Month,0.1,0.1,0.31,1.66,0.1,0,0.1,0,0.42,0,2.6,0.42,1.04,0.1,0.52,0.52,1.14,0,0.52,0.42,0.42,0,0.62,0.1,0,0.1,0.52,48.78,0.1,0.62,0.1,0.21,6.55,0.21
22Month,0,0.14,0,0.41,0.14,0.14,0,0.27,0.27,0,2.6,0,0.27,0,0,0.27,0.82,0.27,0.14,0,0.27,0,0.41,0.14,0.27,0,0,23.64,0,0.27,0,0,0,0.14
