stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0,1.13,0.85,1.69,0,0,0,0,0,0,0,0,0,0,0,5.64,0.85,3.1,0,0,0,0.28,311.72,24.24,0.28,1.69,3.66,0.28,0,3.1,0,0.85,0,0
21Day,1.85,0,0,4.07,0,2.59,0,0,0,0,0,0,0.37,0,1.48,1.48,0,2.59,0.74,4.07,0,0,0.37,0,117.29,11.84,1.48,0.37,1.48,4.44,0,1.11,0.74,0,0,0.37
3Month,0.1,0.1,0.21,1.46,0,0,0,0.1,0.1,0.42,0,0,2.39,0.62,0.1,1.46,0.21,0.62,0,0.62,0.1,0,0.21,0.31,3.12,0.31,2.18,0.21,0,0,3.33,0,0,0,0.1,0.31
22Month,0,0.41,0,0.82,0,0,0.14,0,0.27,0.82,0.55,0,6.97,0.14,0.27,0.82,0,0.41,1.09,1.91,0.14,0.14,0.14,0.14,1.91,0,2.32,0.41,0,0,0,0.55,0,0,0,0.27
