stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0.28,0,0,0,0,0,0,0,1.13,0,0,0,0,1.41,1.13,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,1.11,0,1.11,1.11,0,0,0,0,0.37,0,0,0.37,0.74,0,0,0.74,0.37,0.37,0,0,0,0,0,0,0.37
3Month,0,0.1,0,0.94,0.21,0,0,0.1,0,0.94,0.1,0.1,0.62,0.83,0.21,0.1,0,0.1,0,0,0,0,0.1,0.52,0,0.52,0.21,0.31
22Month,0,0,0.14,0,0,0,0.14,0.14,0.14,3.42,0.14,0,0.41,0,0,0.14,0.27,0,0,0,0,0,0,0.14,0,0,0,0
