stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,1,1,0,4,0,0,0,0
72hpf,0,0,0,0,0.28,0,0.28,0.56,0,0,0,0,0
21Day,1.48,0.37,0,0.37,0.74,0,1.11,0,0.74,1.11,0.37,0.37,0
3Month,0.21,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0.14,0,0.41,0,0,0,0,0,0,0,0,0,0
