stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0.85,0,1.97,0.56,0.56,0,0,0.28,0,0,0.28,0.56,0,2.25,0,5.07,0.28,5.92,3.66,0.28,23.39,0.28,26.49,0.28,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0.74,0,2.96,0,0,1.48,2.96,0,0,5.92,0.74,5.55,0,0,0,0
3Month,0,0.1,0.62,0,0,0.52,0.21,1.56,0,0.31,0,0.31,0.1,1.04,0.31,0,0,0,0,0.1,0.1,0.52,1.04,0.1,0.1,0.1,0.21
22Month,0,0.27,0.55,0,0,0.14,0.14,7.24,0.27,0.27,0,0.14,0.82,0.68,0,0,0,0,0,0,0,0.41,0.41,0,0,0,0.14
