stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,1.97,1.41,1.41,0.28,0,0,0,0.28,0,0,0,0,0.85,2.82,0.85,1.41,0,0,159.53,5.92,3.1,1.69,1.69,0,0.28,1.41,0.56,0.28,0.28,0,0
21Day,1.48,0,4.44,2.22,1.85,0,0,0,0,0,0.37,0,0,1.11,0,0.74,0.37,2.22,0.37,0,58.09,2.96,1.11,1.11,1.48,1.48,0.37,0,0,0.74,0,0,0.37
3Month,0,0.31,2.39,0,0,0,0.42,0.1,0,0,0.73,0.21,0,1.04,0.1,0.1,0,0.1,0.21,0.1,5.82,0,6.97,0,0,0.1,3.33,0.21,0,0,0,0.42,0.1
22Month,0.14,0,0.41,0,0,0,0.14,0.27,0.14,0,1.78,0,0.14,0.55,0,0.14,0.27,0.14,0,0,2.05,0,2.87,0.27,0,0,3.01,0.14,0,0,0,0,0
