stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0.56,0,9.3,0,0.28,0,1.41,4.23,0,0,0,4.79,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,1.11,1.11,0,0,0,5.18,0,0,0,0.37,0,0,0,0
3Month,0.1,0,0,1.25,0,0.21,0.21,0,2.29,0,0.21,0.52,0.1,0.52,2.39,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.42,0.21,0,0.1,0.21,0.21,0.21
22Month,0,0.27,0.27,0.27,0,0,0.27,0.14,15.3,0.68,0.14,1.37,0,0.96,2.46,0,0.14,0,0,0,0.14,0.14,0.27,0,0,0.41,0,0,0,0,0,0.14
