stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
21Day,0,0,0,0,0,0.37,0
3Month,0.1,0.1,0,0,0,0.1,0.21
22Month,0,0,0.14,0.55,0.14,0,0
