stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0,0,0
3Month,0.21,0.31,0.1,1.25,0.1,0.42,0.21,0.21,0.21,0.1,0.21,0,0.21,32.25,0.42,4.37,0.1
22Month,0,0.14,0,0.14,0,0,0,0,0,0,0.14,0,0,6.42,0,0,0
