stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0
21Day,0.37,0,0.37,0.37,0.74,0,0.37,0,0.37,1.11,0,0
3Month,0,0.21,0,0,0,0.21,0,0.1,0,0,0.1,0.1
