stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,5.36,1.41,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0.74,0,0.37,0.74,0.74,0,0,0,0
3Month,0.21,0.31,0,0,0,0.1,0,0.52,0,0,0.21,0,0.73,0.21,0.1,0.1,0,0,0.62,0.1,0.1,1.04
22Month,0.14,0.14,0,0,0.14,0.55,0.14,0.96,0.14,0,0.27,0,0.68,0.14,0,0,0,0,0,0,0,0.27
