stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,29,0,0,1,0,0,0,1,0,0,0
72hpf,0.56,0.28,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0,1.97,0.56,3.1,0,0,0,0,7.33,5.92,0,0,0.28,0,0.56,0.28,0,0,0,0
21Day,0,0,0.74,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74,0.37,1.85,0,0,0.74,0,0.74,0.74,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.31,1.35,0,0,0.1,0.1,0.94,0.31,2.81,0.83,0,1.56,0.31,0.62,0.62,0.94,0.31,0,0.42,0.21,0.21,0.1,0,0.42,0,1.25,0,0,0,0.1,0.52,0.52
22Month,0,0.27,0.27,0,0,0,0.27,0.14,0.14,4.37,0,0.27,1.37,0,0,0.27,0.41,0,0.14,0,0,0.14,0,0.27,0,0,0.68,0,0,0,0,0,0.41
