stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0.28,16.35,0,0.28,0,0.85,1.13,0.28,0,0.28,0,0,0,0,0
21Day,0,0,2.22,0,0.37,0,0,0,0,0.37,0,0.37,4.07,0.37,0,0,0.74,0.37,0,0,0,0,0,0,0,2.59
3Month,0,0.21,6.97,0.21,0.1,0.1,0.42,0.31,0.1,0.31,0.42,0.52,0.62,0.62,0.73,0.1,0.31,0,0,0.1,0,0.1,4.89,0.1,0.73,16.54
22Month,0,0,0.68,0,0,0,0.14,0.41,0,0,0,0.14,0.27,0,0.41,0,0,0,0.27,0,0,0,1.09,0,0,3.28
