stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,16,0,1,0,0,0,0,0,0,0,0,0,6,8,2,2,0,0,0,0,1,48,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.28,0.28,0,2.54,0.56,0.85,0,0,0,0,0,0,0,0,0,1.13,1.69,0,0.28,0,0,0,0.28,6.48,7.61,0.28,0,0,1.41,0.28,2.82,1.13,0,0.56,0,0,0
21Day,0,0,0,2.22,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0.37,0,0,0,0,1.48,1.11,0,0,0,0.37,0,15.17,0.37,0.37,0,0,0.74,0
3Month,0.83,1.87,1.46,16.23,0.1,0,0.83,0.1,2.91,7.07,0.1,22.36,6.87,0.62,11.03,1.35,4.47,4.78,5.93,1.25,0.1,1.66,3.54,1.25,0.31,1.04,0.52,0,0.21,6.87,759.53,1.04,0,0.1,3.12,227.07,5.1
22Month,0,0,0,0.27,0,0,0.14,0,0.41,0.68,0.14,6.56,0.27,0,2.32,0.14,0,0.96,0.68,0,0.41,0.14,0.14,0.14,0.14,0.27,0.14,10.66,0.14,0.55,96.75,0.27,0,0,0,0.82,0.27
