stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,4,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,1.69,0.28,0.28,0,0,0,0,0,0,0.28,0,0.56,3.66,0.28,2.25,0,0,11.56,4.79,0.56,0.85,0,0.56,0,0.28,0,0,0,0
21Day,0,0,3.7,0,1.11,0,0,0,0,0.74,2.22,2.59,0.37,1.11,1.48,0,2.22,0,0,2.96,1.85,0,0.74,0,0,0,0,0,0,0,3.7
3Month,0,0.42,1.98,0,0,0.21,0.21,0.31,0,1.35,0,0,1.14,0.42,0.83,1.98,0.31,0.1,0.21,0,0.1,0.1,0,2.29,0.1,0,0,0.1,0.94,0.52,3.02
22Month,0,0.55,1.37,0,0,0,0.27,0.27,0.27,7.65,32.39,0.14,1.09,0.55,0.14,0.96,1.37,0.82,0,0,0,0.27,0,1.37,0,0.27,0,0,3.01,0,2.32
