stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.28,0.28,0,3.38,0,0,0.28,0.85,0.85,0
21Day,0,0,0.37,0,0,0,0,0,0,0.74,2.59,0,0.37,0,0,0.37,0
3Month,0,0,0,0.1,0,0.1,0,0,0,0.21,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0.68,0.27,5.74,2.73,0.14,0,0,6.97,1.64,0.14,0.14,0,0,0.14,0
