stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0.56,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0.37,0.74,0,0,0,0,0,0,0,0,0.74,0,1.48,1.11,0,0,0.37
3Month,0.1,0.21,0.1,2.81,0.1,0,0.52,0.52,0,2.81,0.73,0.1,0.52,0.31,0.21,0.42,0,0,0.21,0.1,0,0.1,0,0,0.21,29.44,0.31,0.21,2.81,0.31
22Month,0,0.41,0.14,0.82,0.14,0.14,0.41,0.82,0.55,6.97,0.41,0.14,1.09,0.14,0.55,0.96,0.14,0.68,0,0,0.14,0.14,19.68,0,0.27,24.73,0.14,0,0,0.41
