stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0,0,1.13,1.69,0,0.85,0,0.28,0,0,9.3,7.89,0,0.85,0.85,0,0.28,0,0,0,0,0
21Day,1.85,0,0,4.44,0,2.22,0,1.11,0,0.37,0,0,0,1.85,0,0,2.22,1.48,4.81,0,0,0.74,0,3.33,2.96,0.74,2.22,0.37,0.37,0,0,0.74,0,0,0.37
3Month,0,0.73,0.31,6.14,0,0,0.1,0.1,0.31,0.94,0,6.76,1.98,0.73,1.98,0.1,1.87,2.18,3.12,0.42,0,0.42,0.1,0,0,0.21,0.1,0.31,3.33,0.21,0,0,0.42,0.42,1.56
22Month,0.14,0.68,0.14,1.64,0,0,0.27,0.14,0,1.5,2.05,27.74,1.37,1.64,3.28,0,0.27,1.5,2.32,0,0.96,0,0,0,0,0.14,0,0,0.14,0.14,0.27,0,0.14,0,0.55
