stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0.28,0,0,30.44,8.17,0,0.56,0,0,0.56,0.28,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,11.47,4.07,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0.31,0,0.1,0,0.21,0.1,4.68,0.21,0.1,0.52,0,0.21,0,0.31,0.1,0.1,0,0.1,0,0,0,0.1,0.21,0,0,0.21,0.1,0.21
22Month,0.14,0.14,0,0.68,0,0.14,0.14,0.27,0.27,9.57,0.14,0,0.14,0,0,0.27,0.55,0.68,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.27
