stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0
3Month,1.14,0,2.5,0.94,0.1,0.21,2.5,0,0.52,0,0.52,0.1,0.1
22Month,0,0.14,0.27,0,0,0.41,0.14,0,0.27,0.14,0.27,0,0
