stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,10,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,1.97,0.28,0.85,0,0,0,0,0,0,0,0,0,0.28,8.46,0.28,1.69,0.28,0,0,176.16,3.95,0,0.56,0,2.82,0,0,0.56,0.85,0,0.85,0,0
21Day,2.96,0,0,9.25,1.11,7.4,0,0.37,0,0.37,0,1.48,0.37,1.11,0.74,1.48,10.73,0.37,4.81,0,1.85,0,184.25,3.7,0.37,0.37,0,2.96,6.66,0,1.11,2.22,4.81,0.37,0,1.48
3Month,0,0,0.1,2.7,0,0,0,0.1,0,0.21,0,1.77,0.1,0.1,0.42,0.52,0.31,0.42,0.42,0,0,0.21,2.08,0,0,0,0,0,0.1,1.87,0.1,0,0,0,0.31,0.42
22Month,0,0,0,1.78,0,0,0.14,0.14,0.14,0.55,0,10.52,0.41,0.55,0.55,0,0.14,0.55,0.96,0.27,0,0,1.64,0,0.27,0.41,0.14,0.14,0.27,2.87,0.68,0.14,0,0,0,0.27
