stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,7.61,0.56,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,0.28,0,0,0,0,4.23,7.05,0,0,0,0.56,1.13,0,0.28,3.1,0.28,0,0,0
21Day,1.48,0,0,1.85,2.59,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,1.48,0,1.11,1.11,0,0,0,0,2.96,0,0.37,1.11,0.37,0,0,0
3Month,0,0.31,0.1,26.32,2.81,0,0,0.1,2.18,0.83,0,0,7.18,0.62,0.21,2.08,2.7,1.04,1.04,0.62,0.52,0,1.25,1.46,0.42,0.83,2.08,0.31,0,0.31,1.66,0.1,19.66,0.52,0.31,0.83,191.08,0.83
22Month,0,0,0.27,10.39,0.96,0,0.14,0,1.5,0.27,0.41,0,5.74,0.14,0.27,0.41,0,0.55,0.27,0.41,0,0.14,0.14,0,0,0,1.09,0,0.14,0,0.55,0,24.32,0.27,0,0,0.68,0.14
