stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,5,0,0,21,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.28,0,0,0,0.28,0.85,0,1.13,0.85,0,0.56,0,0,0,0,0.28,0
21Day,0,0,2.22,0,0,0,0.37,0.74,0.74,3.7,1.48,2.22,1.11,0.37,2.22,0.74,0,0.74,0,0,0
3Month,0,0,0,0,0,0,0.21,0,0,0.21,0,0,0,0,0,0,0.1,0,0,0,0.21
22Month,0,0.14,0,0,0,0.27,1.91,0.14,0.14,0.41,0,0,0,0,0.14,0,0,0,0.27,0,0
