stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0.56,0,0,0.56,0,0,0,1.97,0.28,0,0,0,0.56,0,0,0,0.56,0,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0.37,1.11,0.74,0,2.22,0,3.33,0.37,0.74,13.32,0,0.37,0.37,5.55,0.37,0.37,0.74,0,2.22,0.74,0,0,0.74,0,0,0,0,0,0,0,0,9.62
3Month,0,0.1,1.66,0.21,0,0.31,0.52,0.52,19.87,2.81,26.73,2.18,1.35,0.52,1.04,18.83,0.73,0,0.31,0.42,0,0.1,0.21,0,0.21,0.42,0.1,1.25,0,0,0,0.31,1.14,21.32
22Month,0.27,0,0.14,0.14,0,0.14,0.27,0.14,14.89,4.65,5.47,2.05,0.41,0,0.27,8.2,0.55,0.14,0,0,0,0.14,0,0.14,0,0,0.14,0.14,0,0.14,0,0,0,3.55
