stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0.73,1.25,0.1,0.21,0.42,2.29,0.21,0,0.62,0.42,0.1,0.21,0.42,0.21,0,0.21,0.1,0.1,4.78,0,0,1.35,0.1
22Month,0.14,0.27,0,0,0.14,4.51,0.14,0.14,0.96,0,0,0.14,0.27,0,0.27,0.27,0,0,0.27,0,0.14,0,0
