stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,7.89,0.28,0,0,0,0,0,0,0,0,0,82.58,0,0.56,0.28,0,0.28,3.95,1.69,0,0,0.56,0,0,0,0,0,0,0
21Day,1.48,0.37,67.71,1.85,0,0,0.37,0,1.11,0,0,0.37,1.11,256.4,0.37,5.18,0,0.37,0,4.07,1.48,0,0,2.22,1.48,0.37,1.11,1.85,0,0,0.74
3Month,0,0,86.44,0,0,0.21,0.31,0,3.02,0.83,0,0.21,0.21,2.08,0.31,0.73,0,0.21,0.1,0.42,0,0.21,0,0,0.62,0.83,0,0,0.31,0.83,0.31
22Month,0,0,7.11,0,0.14,0.14,0.27,0.14,2.46,0.27,0.27,0.55,0,0.41,0.14,0.96,0,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0.14
