stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.28,0,14.37,0.56,0.28,0.56,0,0
21Day,1.11,0,0,0.37,0,0.37,0,7.03,0,0.37,0,0.37,0
3Month,0.42,0.1,0.94,0.21,0,0.1,0.1,0,0,0,0,0,0.1
22Month,0.14,0.14,1.09,0,0.14,0.14,0,0,0,0.14,0,0,0
