stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.56,0,0,0,0.28,0,0,0,5.36,0,0,0.28,5.92,0,0,0,0,0,1.13,0.85,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,5.18,1.48,0,0,0,1.11,0,0.37,0.74,33.3,0.37,1.48,1.48,19.98,1.85,0,0,1.11,0,0.74,1.11,0,0,0.37,0.74,0,0,0,0.74,0.37,0,0,31.08
3Month,0.1,1.14,0.42,2.7,0,0.73,0,0.73,1.77,0,3.54,1.87,1.25,1.35,0.1,1.46,26.94,2.39,0.42,0,0.21,0.31,0.21,0.1,0.21,0.1,0.21,0.83,0.1,0.94,0.1,0.1,0,0.52,0.94,94.34
22Month,0.14,1.09,0.27,0.27,0,0,0.14,0.14,2.05,0.41,5.33,0.14,2.46,0.41,0,0.27,16.94,0.55,0,0.27,0.14,0,0,0,0.14,0.14,0,0.14,0,0.41,0,0,0,0,0,32.25
