stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.28,4.79,0.85,0.28,0
21Day,0.37,0,0,0,0,0,0,0,5.92,0,0,0
3Month,0,0,0.31,0,0,0.21,0.1,0,0,0,0,0.1
22Month,0,0,0,0.14,0.14,2.19,0,0,0.14,0,0,0
